Jenis Kelamin,Usia,Pendidikan Terakhir,Pekerjaan,Penghasilan per Bulan,Domisili,Durasi Penggunaan Internet per Hari (dalam Jam),Aktivitas Online Meningkat,Aktivitas yang Meningkat dalam 3 Bulan Terakhir,layanan_aktif_1,layanan_aktif_2,layanan_aktif_3,layanan_aktif_4,layanan_aktif_5,layanan_aktif_6,bank_1,bank_2,bank_3,bank_4,bank_5,bank_6,bank_7,18. Bagaimana frekuensi penggunaan Channel Bank berikut? [ATM],18. Bagaimana frekuensi penggunaan Channel Bank berikut? [Internet Banking ],18. Bagaimana frekuensi penggunaan Channel Bank berikut? [Mobile Banking ],18. Bagaimana frekuensi penggunaan Channel Bank berikut? [SMS Banking],18. Bagaimana frekuensi penggunaan Channel Bank berikut? [Datang ke cabang bank],19. Manakah channel/ layanan yang lebih Anda sukai ketika Anda akan menggunakan fitur-fitur layanan perbankan berikut? [Cek Saldo ],19. Manakah channel/ layanan yang lebih Anda sukai ketika Anda akan menggunakan fitur-fitur layanan perbankan berikut? [Mutasi Rekening],19. Manakah channel/ layanan yang lebih Anda sukai ketika Anda akan menggunakan fitur-fitur layanan perbankan berikut? [Transfer antar rekening (sesama bank)],19. Manakah channel/ layanan yang lebih Anda sukai ketika Anda akan menggunakan fitur-fitur layanan perbankan berikut? [Transfer antar bank],"19. Manakah channel/ layanan yang lebih Anda sukai ketika Anda akan menggunakan fitur-fitur layanan perbankan berikut? [Pembelian Pulsa, eMoney atau voucher-voucher lain]",19. Manakah channel/ layanan yang lebih Anda sukai ketika Anda akan menggunakan fitur-fitur layanan perbankan berikut? [Pembayaran Tagihan],keluhan_1,keluhan_2,keluhan_3,keluhan_4,emoney_pilihan_1,emoney_pilihan_2,emoney_pilihan_3,emoney_pilihan_4,emoney_pilihan_5,emoney_pilihan_6,emoney_pilihan_7,emoney_pilihan_8,emoney_pilihan_9,emoney_pilihan_10,emoney_pilihan_11,alasan_pakai_emoney_1,alasan_pakai_emoney_2,alasan_pakai_emoney_3,alasan_pakai_emoney_4,alasan_pakai_emoney_5,penggunaan_emoney_1,penggunaan_emoney_2,penggunaan_emoney_3,penggunaan_emoney_4,penggunaan_emoney_5,penggunaan_emoney_6,penggunaan_emoney_7,penggunaan_emoney_8,penggunaan_emoney_9,penggunaan_emoney_10,cara_topup_emoney_1,cara_topup_emoney_2,cara_topup_emoney_3,cara_topup_emoney_4,cara_topup_emoney_5,cara_topup_emoney_6,cara_topup_emoney_7,39. Berapa biasanya nominal Anda melakukan top up/ isi ulang?,40. Berapa frekuensi top up/ Isi ulang ?,keluhan_emoney_1,keluhan_emoney_2,keluhan_emoney_3,keluhan_emoney_4,penggunaan_qr_1,penggunaan_qr_2,penggunaan_qr_3,penggunaan_qr_4,lokasi_qr_1,lokasi_qr_2,lokasi_qr_3,lokasi_qr_4,lokasi_qr_5,lokasi_qr_6,45. Bagaimana frekuensi Anda melakukan belanja online dalam 6 bulan terakhir?,belanja_online_meningkat_6bln_terakhir_1,belanja_online_meningkat_6bln_terakhir_2,belanja_online_meningkat_6bln_terakhir_3,belanja_online_meningkat_6bln_terakhir_4,belanja_online_meningkat_6bln_terakhir_5,belanja_online_meningkat_6bln_terakhir_6,belanja_online_meningkat_6bln_terakhir_7,belanja_online_meningkat_6bln_terakhir_8,belanja_online_meningkat_6bln_terakhir_9,belanja_online_meningkat_6bln_terakhir_10,47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [fashion & mode],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [groceries / keperluan sehari- hari],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [handphone],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [laptop/computer],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [alat elektronik rumah tangga],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [kosmetik & alat kecantikan/ perawatan badan],"47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [buku, hobi & koleksi]",47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [pulsa (data & komunikasi)],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [makanan & minuman],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [tiket pesawat tiket kereta api hotel],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [tiket bioskop tiket wisata],tempat_belanja_online_1,tempat_belanja_online_2,tempat_belanja_online_3,tempat_belanja_online_4,tempat_belanja_online_5,tempat_belanja_online_6,tempat_belanja_online_7,tempat_belanja_online_8,ecommerce_pilihan_1,ecommerce_pilihan_2,ecommerce_pilihan_3,ecommerce_pilihan_4,ecommerce_pilihan_5,ecommerce_pilihan_6,ecommerce_pilihan_7,ecommerce_pilihan_8,ecommerce_pilihan_9,ecommerce_pilihan_10,ecommerce_pilihan_11,ecommerce_pilihan_12,"50. Apakah Anda pernah menggunakan layanan Food Delivery (pembelian makanan/ minuman secara online )? Jika Pernah, mohon sebutkan layanan yang PALING sering Anda gunakan?",alasan_belanja_offline_1,alasan_belanja_offline_2,alasan_belanja_offline_3,alasan_belanja_offline_4,alasan_belanja_offline_5,alasan_belanja_offline_6,alasan_belanja_offline_7,cara_pembayaran_belanja_online_1,cara_pembayaran_belanja_online_2,cara_pembayaran_belanja_online_3,cara_pembayaran_belanja_online_4,cara_pembayaran_belanja_online_5,cara_pembayaran_belanja_online_6,cara_pembayaran_belanja_online_7,cara_pembayaran_belanja_online_8,keluhan_belanja_online_1,keluhan_belanja_online_2,keluhan_belanja_online_3,keluhan_belanja_online_4,keluhan_belanja_online_5,keluhan_belanja_online_6
Pria,19,S1,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,Bogor,1000%,Ya,Mengikuti kelas online,Mobile Banking,ATM,,,,,,Bank Mandiri,,,,,,2-5 kali per bulan,Tidak Pernah,6-9 kali per bulan,Tidak Pernah,Tidak Pernah,Mobile Banking,Datang ke cabang bank,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,GoPay,ShopeePay,OVO,,eMoney Mandiri,,,,,,,Simple,Efisien secara waktu,Promo,,Aman,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,Pembayaran tol,Pembayaran di minimarket,Pembayaran tiket parkir,,Pembayaran utilitas (PLN,Mobile Banking,,,,,,,Rp 100.001 – Rp 150.000,Sering (kurang lebih 1 kali seminggu),Aplikasi tidak bisa digunakan/ diakses,,,,QRIS,GoPay,OVO,,Cafe/ restaurant,Mini market,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GrabFood,,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
Pria,47,S2,Karyawan Swasta,> Rp 10 juta,Depok,1400%,Ya,Delivery Makanan,Mobile Banking,ATM,Kartu Kredit,Internet Banking,,SMS Banking,,Bank Mandiri,,,,,,2-5 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,,,GoPay,,OVO,,eMoney Mandiri,,,,,,,Simple,Efisien secara waktu,,Tidak perlu datang ke bank,Aman,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,,,,,,,,Mobile Banking,,,,,,,Rp 100.001 – Rp 150.000,Sering (kurang lebih 1 kali seminggu),,Kartu eMoney tidak terdeteksi,,,QRIS,GoPay,OVO,,Cafe/ restaurant,,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,,,Meningkat,Membeli makanan dan minuman secara online,,,,,,Booking transportasi jarak jauh kereta api/ pesawat secara online,,,,online,online,online,online,online,online,online,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,,Gojek (GoFood,Tokopedia,Grab (GrabFood,,,Tiket.com,,,,,,GoFood,Dapat memilih barang langsung,,,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,Kartu Kredit / Debit Online,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
Pria,31,S2,Karyawan Swasta,Rp 5 juta – Rp 10 juta,Bandung,400%,Sama saja,,Mobile Banking,ATM,,Internet Banking,,,,Bank Mandiri,,,,,,2-5 kali per bulan,6-9 kali per bulan,6-9 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,Proses tidak berhasil namun saldo terpotong,,,GoPay,,OVO,Dana,,,LinkAja,,,,,Simple,Efisien secara waktu,Promo,Tidak perlu datang ke bank,Aman,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,Pembayaran tol,,,,,Mobile Banking,,,,,,,Rp 50.001 – Rp 100.000,Sering (kurang lebih 1 kali seminggu),Aplikasi tidak bisa digunakan/ diakses,,,Nominal saldo berkurang tanpa digunakan untuk transaksi,QRIS,GoPay,OVO,LinkAja,Cafe/ restaurant,Mini market,,Tempat hiburan/ rekreasi (seperti bioskop,Pedagang kaki lima / warung-warung pinggir jalan,Pasar tradisional,Tetap,,,,,,,,,,,online,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,Website toko online Instagram,,,,,,Shopee,Gojek (GoFood,Tokopedia,Grab (GrabFood,,,,Bukalapak,,,,,GoFood,,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,Pembayaran sudah dilakukan; barang tidak tersedia,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
Pria,65,S1,Pengusaha,> Rp 10 juta,Jakarta,300%,Tidak,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,6-9 kali per bulan,Tidak Pernah,6-9 kali per bulan,Tidak Pernah,2-5 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,,,OVO,Dana,,,,,,,,,Efisien secara waktu,,,Aman,,Pembayaran transportasi online,,,,,,,Pembayaran transportasi umum,,Mobile Banking,,ATM,,,,,> Rp 300.000,Jarang (kurang lebih 1 kali sebulan) Sangat jarang,,Kartu eMoney tidak terdeteksi,,Nominal saldo berkurang tanpa digunakan untuk transaksi,,,,,,,,,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,,Jasa Layanan Delivery Online (seperti Happyfresh,,,,Facebook,,,Shopee,,Tokopedia,,,,,Bukalapak,,,,,ShopeeFood,,,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,,,Tidak Familiar dengan aplikasi online untuk berbelanja atau memesan tiket,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,COD (Cash on Delivery),,,,menggunakan fitur Paylater,,Barang rusak/ salah tetapi tidak dapat dikembalikan,,,,Saldo eMoney/ eWallet berkurang tanpa melakukan transaksi
Pria,19,S1,Pelajar / Mahasiswa,< Rp 2 juta,Padang,1000%,Sama saja,,Mobile Banking,ATM,,,,,Bank BNI,,,,,,,> 10 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,GoPay,ShopeePay,OVO,,,,LinkAja,,,,,Simple,Efisien secara waktu,Promo,,,Pembelian delivery makanan,,Pembayaran e-commerce,,Pembelian pulsa,,,,,,Mobile Banking,,,,,,,"Rp 25.000 – Rp 50.000,-",Hanya mengisi jika akan menggunakan,Aplikasi tidak bisa digunakan/ diakses,,,,QRIS,,,,Cafe/ restaurant,Mini market,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,,,Meningkat,,Belanja fashion & mode secara online,,,,Belanja buku,,,,,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,Website toko online Instagram,,,,,,Shopee,,,,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,Lebih murah,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,Transfer via ATM,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
Pria,19,S1,Pelajar / Mahasiswa,< Rp 2 juta,Jakarta,1700%,Ya,Streaming video/ film,Mobile Banking,ATM,Kartu Kredit,,,,,,Bank BCA,,,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,GoPay,ShopeePay,OVO,Dana,,,,,,,,Simple,Efisien secara waktu,Promo,Tidak perlu datang ke bank,,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,Pembelian pulsa,,Pembayaran di minimarket,,Pembayaran transportasi umum,Pembayaran utilitas (PLN,Mobile Banking,,,,,,,Rp 100.001 – Rp 150.000,Sangat Sering (beberapa kali dalam seminggu),,Kartu eMoney tidak terdeteksi,,,QRIS,,,,Cafe/ restaurant,Mini market,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,,,Meningkat,Membeli makanan dan minuman secara online,,Pembelian pulsa secara online,,,Belanja buku,,,Belanja handphone,laptop/ komputer secara online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,,Gojek (GoFood,Tokopedia,Grab (GrabFood,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,Lebih murah,,,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,menggunakan fitur Paylater,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
Pria,42,S2,Karyawan Swasta,> Rp 10 juta,Jakarta,800%,Sama saja,,Mobile Banking,ATM,Kartu Kredit,Internet Banking,,SMS Banking,Bank BNI,,Bank BCA,,,,,6-9 kali per bulan,6-9 kali per bulan,6-9 kali per bulan,6-9 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,GoPay,,,,,Flazz BCA,LinkAja,,,,,Simple,Efisien secara waktu,,,,,Pembayaran transportasi online,,,,Pembayaran tol,,,,Pembayaran utilitas (PLN,Mobile Banking,,,,,,,> Rp 300.000,Jarang (kurang lebih 1 kali sebulan) Sangat jarang,Aplikasi tidak bisa digunakan/ diakses,,,,QRIS,,,LinkAja,Cafe/ restaurant,Mini market,,,,,Menurun,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,,Gojek (GoFood,Tokopedia,Grab (GrabFood,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,Pembayaran sudah dilakukan; barang tidak tersedia,Jumlah barang yang diterima kurang,,
Pria,17,SMA,Pelajar / Mahasiswa,< Rp 2 juta,Jakarta,,Ya,Akses media sosial,Mobile Banking,,,Internet Banking,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,,Mobile Banking,,,,,,GoPay,ShopeePay,,,eMoney Mandiri,Flazz BCA,,,,,,,,,,,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,Pembelian pulsa,Pembayaran tol,Pembayaran di minimarket,Pembayaran tiket parkir,Pembayaran transportasi umum,,Mobile Banking,,,,,,,Rp 50.001 – Rp 100.000,Hanya mengisi jika akan menggunakan,,Kartu eMoney tidak terdeteksi,,,QRIS,GoPay,,,Cafe/ restaurant,Mini market,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,,,Meningkat,Membeli makanan dan minuman secara online,,Pembelian pulsa secara online,,,,Booking transportasi jarak jauh kereta api/ pesawat secara online,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,,,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,,,,,Tiket.com,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,,,,,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
Pria,34,S2,"Profesional ( Dokter, Dosen, Pengacara, dll)",> Rp 10 juta,Jakarta,1000%,Sama saja,,Mobile Banking,ATM,,,,,Bank BNI,,,,,,,2-5 kali per bulan,,> 10 kali per bulan,,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,,,GoPay,ShopeePay,OVO,,eMoney Mandiri,,,,,,,Simple,Efisien secara waktu,,,Aman,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,,Pembelian pulsa,Pembayaran tol,,Pembayaran tiket parkir,Pembayaran transportasi umum,,Mobile Banking,Top up di minimarket,,,,,,Rp 150.001 – Rp 300.000,Hanya mengisi jika akan menggunakan,,,,,QRIS,GoPay,OVO,,Cafe/ restaurant,,,,,,Tetap,,,,,,,,,,,,,,,,,,,,,,Marketplace (seperti Lazada,,,,,,,,Shopee,,Tokopedia,,,,,Bukalapak,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
Wanita,49,S1,"Profesional ( Dokter, Dosen, Pengacara, dll)",Rp 5 juta – Rp 10 juta,Medan,800%,Ya,Akses media sosial,Mobile Banking,,,,,,,,,,,,,,,6-9 kali per bulan,,,,,,Mobile Banking,,,Layanan/ Sistem down,,,,GoPay,,OVO,,,,,,,,iSaku,,Efisien secara waktu,,,,Pembelian delivery makanan,,,,,,,,,Pembayaran utilitas (PLN,Mobile Banking,,,,,,,> Rp 300.000,Sering (kurang lebih 1 kali seminggu),,,,,QRIS,GoPay,OVO,,Cafe/ restaurant,,,,,,Meningkat,Membeli makanan dan minuman secara online,Belanja fashion & mode secara online,,,,,,Booking Hotel secara online,,,online,,,,,,,,,,,Marketplace (seperti Lazada,,,,,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,,Dapat memilih barang langsung,,,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,,,,,,,,,,
